,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees,last_event_rsvp,next_event_rsvp
107,Eldorado Writing Club Meetup,Santa Fe,US,4.5,1427751423000,44,,,writing,,0,,
108,Rejuve-Nation: Revitalizing Your Health and Wellness,Santa Fe,US,5,1427945960000,7,,,health/wellbeing,,0,,
109,Unity Santa Fe Meetup,Santa Fe,US,5,1428522123000,65,,,health/wellbeing,,0,,
110,The Momentum Club,Santa Fe,US,5,1429305943000,59,,,photography,,0,,
111,"Santa Fe Food, Fitness, and Faith",Santa Fe,US,0,1429821882000,50,,,fitness,,0,,
112,Goodstitches Santa Fe,Santa Fe,US,0,1431471411000,11,,,hobbies/crafts,,0,,
113,Tuesday Afternoon Life Drawing Group – Santa Fe,Santa Fe,US,5,1432398761000,64,,,fine arts/culture,,0,,
114,Santa Fe Dutch Conversational Group,Santa Fe,US,0,1433128306000,7,,,language/ethnic identity,,0,,
115,Santa Fe Transformational Art Group,Santa Fe,US,0,1434202253000,13,,,new age/spirituality,,0,,
116,Living True - Santa Fe,Santa Fe,US,4.77,1435069365000,38,,,health/wellbeing,,0,,
117,studio 316a drawing /sculpting group meet and greet 2,Santa Fe,US,0,1436390747000,25,,,fine arts/culture,,0,,
118,iMattered Memoir Writing Meetup----Santa Fe,Santa Fe,US,0,1436398911000,9,,,writing,,0,,
119,Santa Fe Screenwriters Meetup,Santa Fe,US,5,1436809046000,41,,,writing,,0,,
120,Laugh Santa Fe,Santa Fe,US,5,1436977644000,122,,,health/wellbeing,,0,,
121,Santa Fe Quantum Physics Meetup,Santa Fe,US,0,1437774478000,28,,,education/learning,,0,,
122,Intuitive Lunch!,Santa Fe,US,3,1438111608000,26,,,health/wellbeing,,0,,
123,Santa Fe Bible Study Meetup,Santa Fe,US,0,1438122492000,11,,,religion/beliefs,,0,,
124,From the Ground Up!,Santa Fe,US,0,1438876788000,10,,,fitness,,0,,
125,"Forty-Something, Female, and Other Fun ""F"" Words",Santa Fe,US,3.5,1439664500000,70,,,socializing,,0,,
126,Santa Fe & Albuquerque Real Estate Professional Group,Santa Fe,US,0,1439733828000,14,,,career/business,,0,,
127,Santa Fe Writer's Group,Santa Fe,US,0,1439852067000,34,,,writing,,0,,
128,Tesla Club of New Mexico,Santa Fe,US,4.75,1440344262000,53,,,cars/motorcycles,,0,,
129,Santa Fe Women Reading Graphic Novels,Santa Fe,US,0,1441629012000,17,,,book clubs,,0,,
130,Salons Santa Fe,Santa Fe,US,4.5,1442094769000,147,,,fine arts/culture,,0,,
131,The El Niño Gang,Santa Fe,US,4.95,1442346670000,115,,,sports/recreation,,0,,
132,Santa Fe Birdbrains,Santa Fe,US,3.67,1442770052000,38,,,pets/animals,,0,,
133,Plant Powered Santa Fe,Santa Fe,US,5,1443022573000,93,,,food/drink,,0,,
134,Benevolent Leadership! A Santa Fe Meetup,Santa Fe,US,0,1443112254000,21,,,community/environment,,0,,
135,Santa Fe Drawing Group,Santa Fe,US,0,1443113705000,27,,,fine arts/culture,,0,,
136,Santa Fe ADHD Support Meetup,Santa Fe,US,0,1443122100000,6,,,support,,0,,
137,Los Alamos & Santa Fe People Who Love to Travel Meetup,Los Alamos,US,0,1443202849000,49,,,outdoors/adventure,,0,,
138,Design Lab for Sustainable Neighborhoods,Santa Fe,US,5,1443236494000,56,,,community/environment,,0,,
139,Santa Fe Support Group Meetup--Cerebral Trauma,Santa Fe,US,0,1443664913000,5,,,support,,0,,
140,BETWIXT and BETWEEN,Santa Fe,US,4.94,1443829355000,108,,,socializing,,0,,
141,Santa Fe Botanical and Essential Oils,Santa Fe,US,5,1443977951000,39,,,movements/politics,,0,,
142,Travel Bug Book Group,Santa Fe,US,0,1445269752000,38,,,book clubs,,0,,
143,Los Alamos Miniatures Wargaming Meetup,Los Alamos,US,0,1445299593000,7,,,games,,0,,
144,Santa Fe Outdoors,Santa Fe,US,0,1445706465000,36,,,outdoors/adventure,,0,,
145,Santa Fe Awakening the Third Eye Workshop and Talk,Santa Fe,US,0,1446171919000,31,,,new age/spirituality,,0,,
146,Santa Fe Divorce Support Group,Santa Fe,US,0,1446784087000,14,,,support,,0,,
147,Santa Fe Culturally Jewish - Spiritually Eclectic Meetup,Santa Fe,US,4.6,1446999671000,63,,,religion/beliefs,,0,,
148,Mindful Empowerment - Women's Group,Santa Fe,US,5,1447627482000,16,,,health/wellbeing,,0,,
149,New Mexico Aquaponics Meetup,Santa Fe,US,4.8,1447703816000,43,,,community/environment,,0,,
150,Santa Fe Short Path Meetup,Santa Fe,US,0,1447958972000,10,,,religion/beliefs,,0,,
151,Photographic Exploration of Ghost Towns of New Mexico,Santa Fe,US,5,1448034358000,50,,,outdoors/adventure,,0,,
152,Santa Fe Dynamos,Santa Fe,US,0,1448252855000,11,,,health/wellbeing,,0,,
153,Santa Fe Off-Road Motorcycling and Hiking,Santa Fe,US,0,1448484402000,18,,,outdoors/adventure,,0,,
154,Golf Gypsies Meetup Group,Santa Fe,US,0,1449423070000,15,,,outdoors/adventure,,0,,
155,Edgewood/Stanley Oil Painting -  Meetup,Santa Fe,US,0,1450109644000,3,,,fine arts/culture,,0,,
156,Santa Fe Acoustic Musicians Meetup,Santa Fe,US,4.58,1451264527000,29,,,music,,0,,
157,"Whovians of New, New, New, New Mexico",Santa Fe,US,0,1451419394000,5,,,sci-fi/fantasy,,0,,
158,Stories and Cider Book Club - Santa Fe,Santa Fe,US,4.5,1451538268000,29,,,book clubs,,0,,
159,Women on Adventures Santa Fe,Santa Fe,US,5,1451573763000,143,,,outdoors/adventure,,0,,
